Vivado Simulator 2018.2
Time resolution is 1 ps
=== Starting testbench ===
t=10045000 state=00101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10085000 state=00110 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10105000 state=00111 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10125000 state=01000 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10145000 state=01001 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10165000 state=01010 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10185000 state=01100 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10205000 state=01101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10225000 state=01011 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10245000 state=01000 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10265000 state=01001 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10285000 state=01010 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10305000 state=01100 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10325000 state=01101 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10385000 state=01110 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10405000 state=01111 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
t=10445000 state=10000 path_valid=0 saved=1 path_idx=  0 path_len=0000000 flat_x=ffffff flat_y=ffffff, path_lenl=0000000 flat_xl=xxxxxx flat_yl=xxxxxx, path_x=xxxxxxxxxxxxxxxx, path_y=xxxxxxxxxxxxxxxx
